sample,Acidobacteriota,Actinomycetota,Aquificota,Armatimonadota,Atribacterota,Bacillariophyta,Bacillota,Bacteroidota,Balneolota,Bdellovibrionota,Caldisericota,Calditrichota,Campylobacterota,Candidatus Cloacimonadota,Candidatus Lokiarchaeota,Candidatus Micrarchaeota,Candidatus Nanohaloarchaeota,Candidatus Saccharibacteria,Candidatus Thermoplasmatota,Chlamydiota,Chlorobiota,Chloroflexota,Chrysiogenota,Coprothermobacterota,Cyanobacteriota,Deferribacterota,Deinococcota,Dictyoglomota,Elusimicrobiota,Euryarchaeota,Evosea,Fibrobacterota,Fusobacteriota,Gemmatimonadota,Ignavibacteriota,Kiritimatiellota,Lentisphaerota,Mycoplasmatota,Myxococcota,Nanoarchaeota,Nitrososphaerota,Nitrospinota,Nitrospirota,Planctomycetota,Pseudomonadota,Rhodophyta,Rhodothermota,Spirochaetota,Synergistota,Thermodesulfobacteriota,Thermomicrobiota,Thermoproteota,Thermotogota,Verrucomicrobiota
1503,0.79401336934395,23.189030658469896,0.003743932267314,0.028806066422711,0.000425507670124,0.001726116020313,0.775515828363483,1.110165568245824,0.002255993496316,0.010851783662587,0.000481706796366,0.002938411457835,0.026718670305123,0.00057804815564,5.6199126243e-05,3.2113786424e-05,3.2113786424e-05,0.001573575534797,0.001110601780511,0.003200674046968,0.025072838750871,0.086198755060899,0.002280078836134,0.000369308543881,0.31293279181282496,0.002850098545168,0.208413121596792,0.000377336990487,0.00084566304251,0.567640612689297,0.000481706796366,0.001035669612188,0.003433498998545,0.337451667747875,0.003173912558281,0.008076617285743,0.00061819038867,0.0066234684500379995,0.616226095400586,2.4085339818e-05,0.032496475712651,0.006535155537371,0.070615540198446,1.444633330005097,20.519135949673835,0.001115954078249,0.056908305692953,0.034557110341552,0.022278939331946,0.385384170135201,0.035108397008504,0.006757275893472,0.006840236508403,0.33169527153129597
1601,0.739668545628313,22.405545790093324,0.00346654777915,0.030225050368707,0.000500852388158,0.00159298884567,0.795497355580546,2.322236879110858,0.002685125303181,0.012314939969943,0.000466070972314,0.002949464063598,0.031447037445371,0.000431289556469,0.000118256813871,4.1737699013e-05,2.7825132675e-05,0.002689762825294,0.000994748493147,0.004090294503291,0.026371269493158,0.080915485820208,0.001857327606086,0.000278251326754,0.26737401863945404,0.003283365655703,0.18369456964015202,0.000442883361751,0.0011245991123,0.538272554084463,0.000626065485198,0.00122430583772,0.005040986536369,0.391991194087512,0.003835230787099,0.008577097147208,0.00061215291886,0.008326670953128,0.5552134223617,2.0868849507e-05,0.01921789163451,0.005398075739037,0.050806373504315,1.185204570027613,26.73009544785698,0.001266043536733,0.048049366608389,0.040705850343127,0.018928046502475,0.36203743876239,0.028896400283454998,0.006531949895562,0.006838026354992,0.417789729599767
1602,0.692631227225823,15.913626444093374,0.003534640093671,0.032344878047248005,0.000547723155011,0.0017235021944349998,0.771084657624462,2.0008107763289242,0.00251222353765,0.017665897492954,0.000423572573208,0.003249824053065,0.032162303662245,0.000671873736813,0.000131453557203,3.6514877001e-05,5.8423803201e-05,0.002668020346187,0.0008325391956159999,0.004742065359829,0.026517103677932,0.074658317515696,0.001906076579438,0.000284816040606,0.272140509636192,0.003030734791061,0.167625194359561,0.000296987666273,0.001472766705697,0.422343239016136,0.000613449933612,0.001380262350628,0.004766408611162,0.437803637938246,0.00396551564228,0.008266968152966,0.000788721343216,0.008931538914378999,0.548098041081525,3.6514877001e-05,0.009810330287529999,0.006141802311523,0.059519249511193,1.137134127931138,24.21461915944843,0.001044325482221,0.044346100954823,0.042206329162579,0.018004268686494,0.350983432056172,0.022244863068846002,0.005068264927703,0.007402782730616,0.429775233648352
1603,0.943083756720469,17.9274297787072,0.0033229590774310003,0.026427795100254,0.000310298239146,0.0016301583549520001,0.771957919829365,2.23859638674745,0.002202680458166,0.012021507368243001,0.000472002955321,0.002718387390831,0.030237325125455003,0.000397706193835,0.000113630341096,3.4963181876e-05,3.4963181876e-05,0.001590824775342,0.0008711659484020001,0.004422842507269,0.025780976235554,0.076583936300113,0.001922975003161,0.000301557443677,0.24302470681988197,0.002868437713048,0.166397066542424,0.000305927841412,0.00112173541851,0.46914617200213,0.000799782785405,0.001289267331664,0.004840943890532,0.299966618902104,0.004150421048488,0.007984716660849999,0.000773560398999,0.008028420638195,0.558734955160739,4.370397734e-06,0.020232027912040998,0.006184112794255,0.055815806265979,1.175653015360288,26.145039107629977,0.001118821820021,0.044589711285407,0.043865682060732,0.018422683249976,0.361745104477127,0.024478597710686,0.006023864877325,0.006325422321002,0.38523599229982697
1604,0.715562206537318,22.606663244991868,0.0037974118739379998,0.022883281450549,0.000354554271903,0.001586775675896,0.714678727040115,1.5737211038510581,0.002057577250062,0.010923371502683,0.000406865557922,0.002540003554455,0.028267469000381,0.000337117176564,0.000168558588282,7.5560746471e-05,3.4874190679e-05,0.001954892133063,0.0007129834538820001,0.004351524014726,0.022371793320589,0.077864380511054,0.001546089120103,0.000278993525432,0.257416088677008,0.002830621810113,0.167655734234332,0.000356491726941,0.001007476619616,0.47725911180745,0.000738170369373,0.001098537006389,0.005014133637627,0.227685841123146,0.003214237907583,0.007585136472686,0.000639360162449,0.008369805762964,0.466670920026293,3.4874190679e-05,0.030782285639344,0.005109068934476,0.05154017891351,1.1895935182519208,25.908057567446463,0.001011351529691,0.042945628366171,0.042368266764929,0.018376761032804,0.337593790503103,0.02800397511525,0.006403288899675,0.006368414708996,0.297244351887481
1606,0.888540657075308,24.877116677134406,0.004001560722903,0.025894019482841,0.000354086724291,0.001359236135182,0.707617570499046,1.558297599764125,0.001930343755007,0.010561683582620001,0.000479730400653,0.002021720974179,0.024458635665016,0.000468308248256,0.000102799371568,2.2844304793e-05,6.8532914379e-05,0.0033238463473790002,0.000883313118662,0.002528103063757,0.022878571250168,0.08282964179520799,0.00172474501187,0.00045688609586,0.249280861285116,0.002783197800611,0.19319047825009,0.000323627651234,0.0008185875884150001,0.539041830663392,0.000593951924617,0.001085104477666,0.00359036323663,0.287754477940625,0.002573791673342,0.007230222466978,0.00045688609586,0.006506819481867,0.568236852188819,4.5688609586e-05,0.035199266301848,0.006179384446501,0.058272014142757005,1.2372665845083939,22.53696893844646,0.000788128515358,0.052758921919385,0.031597480912821996,0.020106795601954,0.348619320677384,0.035694226239029,0.006609618853434,0.006674344383681001,0.308200130730342
1607,0.743165988404886,29.252605448880658,0.003834991284302,0.027271884315376,0.000419428682211,0.0017273245729760001,0.781993959745911,1.16155286388911,0.002133223297697,0.010610493329911,0.000432958639702,0.002692461540645,0.026693102800496,0.000324718979776,0.000117259631586,4.5099858302e-05,4.9609844132e-05,0.001422148865131,0.001029780097901,0.003063783707333,0.024866558539255,0.091957107749695,0.001849094190393,0.000441978611362,0.277564071264031,0.002530102050757,0.218713266165413,0.000336745608657,0.000977163596549,0.673495727299558,0.000577278186269,0.001208676202501,0.003644068550822,0.268422329986162,0.00300365056293,0.008478773360825,0.000563748228778,0.006755958773678,0.605805349973698,1.8039943321e-05,0.049575267574452,0.005551792557008,0.058480986260538,1.311054384175264,23.275940656764554,0.001312405876596,0.054288202767039,0.038195069996182995,0.023516569447408,0.386248716458032,0.037387782532573,0.008017251477531,0.007023551266271,0.315826791047665
1701,0.638860987501665,15.816960372792217,0.00398697413963,0.029636216963514,0.000593247793205,0.001683776824833,0.7816272321675239,2.378914926521608,0.002721960462943,0.014857367526895,0.000401314683639,0.003376277881919,0.032398890510304,0.000671765883483,8.724232253e-05,8.724232253e-05,7.8518090277e-05,0.004295230345905,0.000814261676948,0.004021871068643,0.027798312035544,0.074734681556798,0.002189782295508,0.000410038915892,0.285052656557801,0.002942974346686,0.170773938275476,0.000372233909462,0.001518016412026,0.425890845895742,0.000584523560952,0.001439498321749,0.004289414191069,0.618987186429282,0.003280311327136,0.007808187866454,0.000820077831784,0.008648622240161,0.530948050686626,0.0,0.030171303208365,0.00681362538961,0.074019294512051,1.1251002559689731,25.61268538266515,0.001090529031628,0.049457672642378,0.041562242453393,0.018733834724654,0.363474780280212,0.025335170462774,0.005513714783909,0.007118973518464,0.40742455429351504
1702,0.827809344724171,14.631873721262057,0.004287343548107,0.042584259816539,0.000829808428666,0.001999083941786,0.97165537854792,1.866503186024318,0.003281515149724,0.016973354222713,0.000829808428666,0.003583263669239,0.037341379289969,0.000905245558545,0.000113155694818,3.7718564939e-05,7.5437129879e-05,0.006965361658802001,0.0017601996971700002,0.006424728894672,0.037102495045352,0.098860358706068,0.002527143850937,0.00060349703903,0.376909046584063,0.00475253918236,0.20403229061198702,0.001118984093201,0.001885928246969,0.48274733980391005,0.000641215603969,0.001546461162514,0.005808659000662,0.595764733217219,0.005066860556854,0.009090174150386,0.000678934168909,0.011479016596546,0.649727426790466,3.7718564939e-05,0.034261029819921004,0.008034054332084,0.073174015982362,1.360571501637678,19.861477312974692,0.001395586902756,0.056540128844103,0.045010820827639,0.022077933344506,0.422070741671459,0.035191421088425004,0.006688758849247,0.008461531401397,0.424132689888143
1703,0.835927192039823,15.230698134178626,0.004395902860124,0.036160891340769996,0.000486033485763,0.0016633145957219999,0.8598040370589419,1.646526639099326,0.00318621951778,0.014163375799939,0.000496834229891,0.003596647794646,0.031865795425842,0.000788454321349,8.6405953025e-05,7.5605208896e-05,4.3202976512e-05,0.002145747833442,0.0011340781334470001,0.003938671358702,0.033615515974589,0.091860328809214,0.002527374125968,0.000486033485763,0.358401092401661,0.003639850771159,0.203518421605175,0.000504034725976,0.001188081854087,0.5009349124117259,0.000421229020995,0.001749720548747,0.003330229439487,0.53865471115498,0.003567845810305,0.009828677156541,0.000745251344837,0.007358906999255999,0.706516276145361,0.0,0.018588080644404,0.008521787117045,0.09403847887504001,1.3189220684548282,23.36082146715578,0.00128528855124,0.061470635080875,0.04424704844465,0.022249532903819,0.43849581060736803,0.032596645778507,0.006545250941608001,0.007949347678257,0.467348198421479
1705,0.737342783013955,19.517630439781247,0.004192275485881,0.029480192331692,0.000618077059487,0.001576443735994,0.903299945829133,1.672312812179554,0.002305635772467,0.012942579923557001,0.000625021745548,0.003597347379933,0.035022051808886005,0.000520851454624,4.8612802432e-05,1.3889372123e-05,6.2502174555e-05,0.002219984644374,0.0014537542822380001,0.004189960590527,0.026959271291314,0.092237005375443,0.002298691086405,0.000562519570993,0.345808327544358,0.004083475404248,0.189011205644493,0.000604187687363,0.001405141479807,0.483604788379559,0.000937532618322,0.001541720305686,0.005064991034295,0.313668320451056,0.004071900927479,0.008410014820654,0.000847251699521,0.010437863150655,0.567063710573079,6.9446860616e-05,0.18680974016295002,0.006333553688222,0.07631052534073099,1.336777990215725,20.870392782415532,0.001069481653494,0.053809742500995,0.04024214083189,0.020896560359496,0.387478758809595,0.035306783937414,0.008111393320003,0.008604466030381,0.36051485772757297
1706,0.995223314455827,26.380037338814592,0.003683566670455,0.026677208397811,0.000466585111591,0.0018254119278040002,0.767821736765122,1.360111971695364,0.002259254224546,0.010251229615482998,0.000532070741288,0.002709467928713,0.026909136669656,0.000360170963333,9.0042740833e-05,3.2742814848e-05,4.0928518561e-05,0.00172172634745,0.000889513136718,0.003238810102097,0.024865439309528,0.090506597377049,0.002038240224319,0.00049932792644,0.265980799285945,0.002523925311238,0.21289651071282098,0.000311056741061,0.000881327433005,0.636509406383136,0.000794013260076,0.001145998519697,0.004406637165027,0.239688318962603,0.002507553903814,0.008734145860837,0.000687599111818,0.007099733686315,0.649961246150059,3.2742814848e-05,0.07160307893785199,0.00663042000682,0.063722974830981,1.505618312314173,24.549591203228044,0.001178741334546,0.055354457069286,0.038142650730594,0.022401542492179,0.388605369461463,0.036631024111754,0.007847361292023,0.0069987766738669995,0.364192872424006
1708,0.819513630104595,31.77432372341061,0.003852806475959,0.028874827481394,0.000367832197215,0.001626950103067,0.789290084566744,1.288209660013879,0.001916971643179,0.009042541514873001,0.000587116776324,0.002320172320896,0.027271456365328,0.000353684805015,0.000134400225906,7.0736961e-06,2.1221088301e-05,0.002131540424888,0.001025685934542,0.002676215024611,0.023864292743687,0.097268037176422,0.001846234682176,0.000353684805015,0.288415811097228,0.002525309507804,0.23108114630565701,0.000320674223213,0.0009431594800389999,0.718626218423521,0.000785180267132,0.000898359404737,0.005128429672712,0.266124236786507,0.002268298549494,0.007929613328427999,0.000516379815321,0.007429738804007,0.685306751892443,3.5368480501e-05,0.049070229847729,0.005623588399733,0.054682028753961,1.5343153368365592,22.96063985636811,0.001145938768247,0.057888770986094,0.034012688748907,0.023251239081662,0.381842831291191,0.044526559052641995,0.007955550214129,0.006946369570488,0.314013159385487
1801,0.978666163734752,27.387187688185122,0.003595217970163,0.027498348292395003,0.000335345710883,0.001731319716651,0.7877556702345451,1.261139034201753,0.00198867805291,0.009467667279344,0.000452326772819,0.002448803563191,0.027412562180309002,0.00038993687312,9.3584849549e-05,2.3396212387e-05,7.0188637162e-05,0.0016923260293389998,0.001115219457122,0.003218278992814,0.024326861724355,0.089862252199991,0.001902891940824,0.000444528035356,0.251821232660644,0.002454002721499,0.21173052294564002,0.000301551181879,0.0007460792172349999,0.648366235990056,0.00088125733325,0.001021634607573,0.005284944420348,0.249354232043374,0.00249819556712,0.008828170807428,0.000655093946841,0.008898359444588999,0.606208860847517,5.4591162237e-05,0.034904549302513,0.006059619008279,0.059460173992432,1.350504766783306,22.938005366311224,0.001068427032348,0.054648352978136,0.036152347296495996,0.02278791086511,0.388785259554331,0.035710418840294,0.008048297061189,0.007637563554836999,0.36137789653233
1804,0.967342663666552,13.925905599231013,0.004251737431476,0.027458589108540002,0.000592347320175,0.002566838387424,0.8629842291255599,1.641644526405813,0.002580001661205,0.020705829658549002,0.000750306605555,0.004159594515004,0.03668165627155599,0.000697653510428,7.897964269e-05,6.5816368908e-05,9.2142916472e-05,0.001961327793467,0.00094775571228,0.005357452429136,0.035273185976919,0.104275067140374,0.002988063148437,0.000368571665886,0.280053037462719,0.00325132862407,0.20169206864050498,0.000561633014684,0.0016541847385620001,0.542945553672086,0.000566020772611,0.001487449937327,0.005006431794958,0.245955770610297,0.00650265724814,0.010925517238777,0.000763469879336,0.008472760557462,0.733799860232359,1.3163273782e-05,0.027094405200581997,0.008635107600768,0.14610356346056,1.192403931027429,23.208154841169062,0.001079388450096,0.063719020619084,0.042706047905629,0.0248083833205,0.648506233885134,0.02769552803661,0.007415310897000999,0.007630311035435,0.5445295342838119
1805,0.867787708411347,18.68316853888293,0.004417474441512,0.027638438551910997,0.000538252270412,0.001598446136374,0.8265217010130971,1.0877860909360901,0.002259028468244,0.012850093344633001,0.000782912393326,0.003580193131983,0.029413583665947,0.000448543558677,0.000114174724027,4.0776687152e-05,4.0776687152e-05,0.002030679020191,0.001060193865963,0.0034469892872849997,0.033496689272809,0.124901711193677,0.002780970063795,0.00049747558326,0.276305550590617,0.003210484501801,0.219479159375002,0.000595339632425,0.001163494806749,0.609788171906357,0.000750291043605,0.001296698651447,0.004357668633689,0.257651575441289,0.00387650372529,0.010911841481988,0.000603494969856,0.00623067779689,0.782143073162212,0.0,0.027355720187654,0.008033007369027,0.081352209314891,1.240266434873855,24.811915491675066,0.001264077301725,0.070429494049662,0.037824455002586,0.024680769510455,0.597199049359499,0.032295136224717004,0.0074865997611850005,0.0074431046282219995,0.412246870219358
1809,0.901434878438856,25.637104345892993,0.004428278595307,0.031571986281357,0.000355355689747,0.0018792848977,0.831536869849863,1.364937149765362,0.002494323591492,0.012653851644512002,0.000498864718298,0.002931684440412,0.027902255408394,0.00053303353462,6.8337632644e-05,6.8337632644e-05,4.1002579586e-05,0.0022186951398299997,0.001027342410743,0.002644666383308,0.02816193841244,0.100547436829662,0.001961290056872,0.000451028375448,0.3050136336994,0.002330313273148,0.241140726388487,0.00044875045436,0.0010045631998610001,0.68594126558152,0.000492030955034,0.001489760391631,0.003756291874312,0.467345124202167,0.003296151814511,0.01013447092105,0.000785882775402,0.0067358126575739995,0.744410944071411,2.0501289793e-05,0.04487960127816,0.007476137011213,0.073592796593925,1.632105402506721,22.86396093529342,0.001400921469194,0.065740802603172,0.035020758808773,0.025177861787001,0.432914346955219,0.041282763880017004,0.007662926540439,0.007255178665665,0.363517481005611
1810,1.1768648662449601,19.67492874162632,0.0046340750582830005,0.032195135726659,0.00043520009243,0.001726293699972,0.823915979431993,1.216337514628365,0.002620871667745,0.011316814255376,0.000449706762178,0.003317191815634,0.028508829758556998,0.00062378679915,4.8355565826e-05,3.3848896078e-05,1.934222633e-05,0.00196001226813,0.000997736508201,0.0028771561666209996,0.030694501333872,0.09869370984997,0.00213731600949,0.000430364535847,0.315479770706933,0.0027997872613,0.225580326428438,0.000393291935381,0.0010090194735600001,0.580066920234657,0.000343324517361,0.001745635926303,0.00330429699808,0.473135033820205,0.003030282125069,0.010909015650247,0.000764017940044,0.006075070919886,0.687051997771518,3.868445266e-05,0.032947870701344,0.008254295086423,0.08035244373233501,1.69935481425112,21.318840675954046,0.001199218032474,0.066608180072517,0.036962994517059,0.024561403734997,0.444506926999279,0.039080968300219,0.007003497783736,0.007235604499698,0.386056330881534
1811,1.135976058690556,21.12214937049434,0.0036235786819870004,0.03280250548661,0.000523317708996,0.0016532082170559999,0.770081831428027,1.223592129666391,0.002152738757461,0.010018362504793,0.000606572799063,0.003342097186997,0.026300679405145,0.00048763695611,7.1361505772e-05,2.3787168591e-05,7.1361505772e-05,0.002422326668156,0.000995096552712,0.002842566646591,0.029020345680684,0.096112054690824,0.002247887431823,0.000404381866042,0.290072627379595,0.002572978735897,0.22732604116536098,0.00043609809083,0.000852373541167,0.6020413434469509,0.000297339607384,0.001569953126988,0.004971518235461,0.447916349091447,0.002791027781312,0.009824100627969,0.000654147136245,0.00584767894522,0.693451467813007,1.1893584295e-05,0.012519979734918,0.007481064521783,0.059721651275112995,1.978129046420382,23.05053548286344,0.001106103339469,0.063583101643007,0.034475536344157,0.023910068961777,0.420493708234439,0.040604696784367005,0.0066683362616,0.006636620036812001,0.394319893728447
